Date,Open,High,Low,Close,Adj Close,Volume,Industry
5/13/2016,25620,25620,25020,25060,1233.203613,12284900,IT
5/16/2016,25060,25260,24940,24960,1228.282593,11720150,IT
5/17/2016,24980,25300,24980,25280,1244.029785,9183550,IT
5/18/2016,25280,25420,25100,25360,1247.966553,9169600,IT
5/19/2016,25360,25540,25320,25400,1249.935059,10012450,IT
5/20/2016,25400,25600,25380,25380,1248.950806,7960550,IT
5/23/2016,25380,25720,25380,25720,1265.682129,8112550,IT
5/24/2016,25720,25780,25360,25420,1250.919067,10434600,IT
5/25/2016,25660,25960,25480,25900,1274.539795,11862750,IT
5/26/2016,25980,26060,25900,25920,1275.52417,12653650,IT
5/27/2016,26000,26020,25460,25640,1261.745361,13744550,IT
5/30/2016,25940,25940,25480,25600,1259.776855,10315350,IT
5/31/2016,25600,26000,25360,25840,1271.58728,62527700,IT
6/1/2016,25960,26820,25900,26660,1311.939453,23504000,IT
6/2/2016,27000,27440,26920,27300,1343.43396,23806950,IT
6/3/2016,27400,27580,27280,27540,1355.244385,17066200,IT
6/7/2016,27720,28040,27600,27960,1375.912598,23142150,IT
6/8/2016,28380,28380,27780,28120,1383.786377,18808100,IT
6/9/2016,28160,28600,28120,28600,1407.407104,25768750,IT
6/10/2016,28480,28500,28080,28120,1383.786377,14484050,IT
6/13/2016,27920,27920,27240,27420,1349.339478,15248300,IT
6/14/2016,27420,27720,27380,27600,1358.196899,12273050,IT
6/15/2016,27700,28320,27660,28260,1390.675659,15334450,IT
6/16/2016,28260,28340,27900,28180,1386.739014,14621550,IT
6/17/2016,28200,28700,28200,28520,1403.470337,16419700,IT
6/20/2016,28540,28960,28520,28620,1408.391479,13515800,IT
6/21/2016,28640,28980,28520,28960,1425.122559,10020550,IT
6/22/2016,28920,29000,28620,28900,1422.170044,8948250,IT
6/23/2016,28880,28900,28540,28600,1407.407104,11256300,IT
6/24/2016,28900,28900,27200,28000,1377.881104,20552600,IT
6/27/2016,28000,28100,27700,27960,1375.912598,11839000,IT
6/28/2016,27800,28080,27580,27980,1376.896851,10718950,IT
6/29/2016,28160,28240,27820,27920,1424.868896,10527050,IT
6/30/2016,28160,28900,27940,28500,1454.468506,13671700,IT
7/1/2016,28540,29580,28540,29320,1496.316406,14393600,IT
7/4/2016,29280,29480,29020,29320,1496.316406,7995000,IT
7/5/2016,29320,29500,29240,29380,1499.37854,7870350,IT
7/6/2016,28940,29040,28240,28420,1450.385742,16749150,IT
7/7/2016,28420,29000,28320,29000,1479.985352,11495200,IT
7/8/2016,29000,29500,28980,29200,1490.192261,13498150,IT
7/11/2016,29200,30000,29200,29780,1519.791992,14056800,IT
7/12/2016,29980,30100,29200,29280,1494.275146,11024700,IT
7/13/2016,29920,29920,29260,29620,1511.626587,10009900,IT
7/14/2016,29620,30000,29520,30000,1531.019409,12430250,IT
7/15/2016,30000,30440,29720,30360,1549.391724,11623150,IT
7/18/2016,30360,30660,30000,30660,1564.701904,11567200,IT
7/19/2016,30560,30800,30440,30660,1564.701904,10122250,IT
7/20/2016,30660,30840,30480,30800,1571.846802,7773150,IT
7/21/2016,30800,30940,30740,30860,1574.908936,8544700,IT
7/22/2016,30120,30560,30120,30320,1547.350342,8585150,IT
7/25/2016,30000,30460,29900,30040,1533.060913,7732500,IT
7/26/2016,30000,30620,29960,30600,1561.639893,7228500,IT
7/27/2016,30240,30580,30240,30540,1558.577881,6335050,IT
7/28/2016,30660,30720,29960,30140,1538.164307,9503700,IT
7/29/2016,30400,31140,30220,30780,1570.82605,14985600,IT
8/1/2016,31380,31600,31200,31360,1600.425781,11515400,IT
8/2/2016,31360,31360,30920,30960,1580.012207,8315800,IT
8/3/2016,30960,30960,30340,30340,1548.370972,7504900,IT
8/4/2016,30380,30660,30340,30340,1548.370972,7009950,IT
8/5/2016,30580,31280,30500,31220,1593.281128,6958850,IT
8/8/2016,31320,31500,31120,31380,1601.446289,11125150,IT
8/9/2016,31480,31580,31140,31340,1599.405273,9023200,IT
8/10/2016,31340,31400,30680,30820,1572.86731,12340350,IT
8/11/2016,30820,31180,30520,31180,1591.239624,10533600,IT
8/12/2016,31180,31400,30880,30900,1576.950195,10474850,IT
8/16/2016,30900,31520,30900,31360,1600.425781,10843100,IT
8/17/2016,31380,31400,31020,31320,1598.384521,7446450,IT
8/18/2016,31340,32880,31320,32800,1673.914551,18327050,IT
8/19/2016,32760,33500,32720,33500,1709.638306,16805150,IT
8/22/2016,33480,33840,33180,33300,1699.431641,12612200,IT
8/23/2016,33300,33880,33140,33740,1721.886597,11545700,IT
8/24/2016,33600,33640,32720,33060,1687.183594,15938550,IT
8/25/2016,32600,33180,32440,32780,1672.894043,14173800,IT
8/26/2016,32120,32460,32060,32240,1645.335571,12058000,IT
8/29/2016,32040,32800,31940,32800,1673.914551,8925750,IT
8/30/2016,32940,33420,32660,32900,1679.018188,7849600,IT
8/31/2016,32820,32820,32220,32400,1653.501099,20532200,IT
9/1/2016,31660,31760,31260,31740,1619.818604,18790150,IT
9/2/2016,31900,32260,31760,31940,1630.025391,8153000,IT
9/5/2016,31800,32300,31700,32120,1639.21167,8383800,IT
9/6/2016,32140,32900,31940,32860,1676.976807,7660150,IT
9/7/2016,32960,33040,32420,32420,1654.521851,9591850,IT
9/8/2016,32460,32780,32280,32780,1672.894043,12070850,IT
9/9/2016,32220,32360,31280,31500,1607.570557,13258400,IT
9/12/2016,29800,30120,29120,29300,1495.295532,26499350,IT
9/13/2016,30160,30980,29900,30540,1558.577881,24717250,IT
9/19/2016,30760,31380,30720,31160,1590.219116,22408150,IT
9/20/2016,31180,31760,31180,31700,1617.777222,12921150,IT
9/21/2016,31900,32020,31520,31840,1624.921997,10509050,IT
9/22/2016,32000,32820,31980,32360,1651.459839,11429950,IT
9/23/2016,31640,31960,31320,31420,1603.487793,18299650,IT
9/26/2016,31420,31920,31280,31360,1600.425781,14524800,IT
9/27/2016,31000,31500,30660,31380,1601.446289,9834400,IT
9/28/2016,31080,31460,31080,31340,1599.405273,8706400,IT
9/29/2016,31460,32380,31440,32000,1633.087524,11397550,IT
